276,だいず　［全粒・全粒製品］　全粒　国産　黄大豆　ゆで　,1.00,1.76,0.148,0.098,0.084,1
277,だいず　［全粒・全粒製品］　全粒　米国産　黄大豆　乾　,1.00,4.33,0.33,0.217,0.288,1
278,だいず　［全粒・全粒製品］　全粒　中国産　黄大豆　乾　,1.00,4.22,0.328,0.195,0.308,1
279,だいず　［全粒・全粒製品］　全粒　ブラジル産　黄大豆　乾　,1.00,4.51,0.336,0.226,0.307,1
280,だいず　［全粒・全粒製品］　いり大豆　黄大豆　,1.00,4.39,0.375,0.216,0.333,1
281,だいず　［全粒・全粒製品］　いり大豆　黒大豆　,1.00,4.42,0.364,0.22,0.343,1
282,だいず　［全粒・全粒製品］　いり大豆　青大豆　,1.00,4.35,0.377,0.207,0.339,1
283,だいず　［全粒・全粒製品］　水煮缶詰　黄大豆　　,1.00,1.40,0.129,0.067,0.077,1
284,だいず　［全粒・全粒製品］　蒸し大豆　黄大豆 　,1.00,2.05,0.166,0.098,0.138,1
285,だいず　［全粒・全粒製品］　きな粉　全粒大豆　黄大豆　,1.00,4.50,0.367,0.257,0.285,1
286,だいず　［全粒・全粒製品］　きな粉　全粒大豆　青大豆　,1.00,4.31,0.37,0.228,0.293,1
287,だいず　［全粒・全粒製品］　きな粉　脱皮大豆　黄大豆　,1.00,4.51,0.375,0.251,0.295,1
288,だいず　［全粒・全粒製品］　大豆はいが　　,1.00,4.42,0.378,0.147,0.395,1
289,だいず　［全粒・全粒製品］　ぶどう豆　,1.00,2.89,0.141,0.094,0.37,1
290,だいず　［豆腐・油揚げ類］　木綿豆腐　,1.00,0.72,0.066,0.042,0.016,1
291,だいず　［豆腐・油揚げ類］　絹ごし豆腐　　,1.00,0.56,0.049,0.03,0.02,1
292,だいず　［豆腐・油揚げ類］　ソフト豆腐　　,1.00,0.59,0.051,0.033,0.02,1
